"","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","sqft_living15","sqft_lot15","log_price","popular","good_condition","high_grade"
"1",2014-10-13,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,"98178",1340,5650,12.3099821089207,0,1,1
"2",2014-12-09,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,"98125",1690,7639,13.1956138391439,0,1,1
"3",2015-02-25,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,"98028",2720,8062,12.1007121298723,0,1,0
"4",2014-12-09,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,"98136",1360,5000,13.311329476917,0,1,1
"5",2015-02-18,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,"98074",1800,7503,13.1421660047005,0,1,1
"6",2014-05-12,1230000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,"98053",4760,101930,14.0225247273486,0,1,1
"7",2014-06-27,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,"98003",2238,6819,12.4587749990859,0,1,1
"8",2015-01-15,291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,"98198",1650,9711,12.5839952506319,0,1,1
"9",2015-04-15,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,"98146",1780,8113,12.3436583084827,0,1,1
"10",2015-03-12,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,"98038",2390,7570,12.6854076022048,0,1,1
"11",2015-04-03,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,"98007",2210,8925,13.4037758368425,0,1,1
"12",2014-05-27,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,"98115",1330,6000,13.0562235748998,0,1,1
"13",2014-05-28,310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,"98028",1780,12697,12.6443275764613,0,1,1
"14",2014-10-07,4e+05,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,"98074",1370,10208,12.8992198260901,0,1,1
"15",2015-03-12,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,"98107",1360,4850,13.1806322855283,0,1,1
"16",2015-01-24,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,"98126",2140,4000,13.3847276418718,1,1,1
"17",2014-07-31,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,"98019",1890,14018,12.8866410438833,0,1,1
"18",2014-05-29,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,"98103",1610,4300,13.0919041699196,0,1,1
"19",2014-12-05,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,"98002",1060,5095,12.1495022940418,0,1,1
"20",2015-04-24,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,"98003",1280,8850,12.3458345879053,0,1,1
"21",2014-05-14,385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,"98133",1400,4980,12.8609986132699,0,1,1
"22",2014-08-26,2e+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,"98040",4110,20336,14.5086577385242,1,1,1
"23",2014-07-03,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,"98092",2240,7005,12.5602444592508,0,1,1
"24",2014-05-16,252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,"98030",1220,8386,12.4399582933763,0,1,1
"25",2014-11-20,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,"98030",2200,6865,12.7038130297475,0,1,1
"26",2014-11-03,233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,"98002",1030,4705,12.3587937325478,0,1,0
"27",2014-06-26,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,"98119",1760,3573,13.7504385612206,0,1,1
"28",2014-12-01,667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,"98112",1860,3861,13.4105453248978,0,1,1
"29",2014-06-24,438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,"98115",1520,6235,12.9899741893586,0,1,1
